request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_72,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_73,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_74,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_75,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_76,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_77,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_78,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_79,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_80,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_81,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_82,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_83,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_84,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_85,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_86,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_87,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_88,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_89,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_90,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_91,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_92,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_93,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_94,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_95,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_96,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_97,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_98,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_99,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_100,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_101,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_102,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_103,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_104,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_105,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_106,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_107,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_108,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_109,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_110,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_111,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_112,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_113,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_114,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_115,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_116,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_117,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_118,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_119,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_120,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_121,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_122,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_123,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_124,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_125,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_126,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_127,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_128,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_129,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_130,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_131,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_132,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_133,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_134,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_135,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_136,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_137,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_138,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_139,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_140,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_141,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_142,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_143,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_144,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_145,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_146,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_147,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_148,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_149,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_150,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_151,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_152,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_153,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_154,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_155,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_156,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_157,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_158,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_159,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_160,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_161,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_162,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_163,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_164,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_165,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_166,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_167,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_168,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_169,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_170,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_171,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_172,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_173,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_174,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_175,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_176,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_177,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_178,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_179,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_180,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_181,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_182,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_183,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_184,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_185,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_186,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_187,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_188,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_189,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_190,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_191,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_192,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_193,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_194,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_195,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_196,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_197,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_198,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_199,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_200,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_201,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_202,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_203,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_204,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_205,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_206,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_207,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_208,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_209,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_210,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_211,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_212,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_213,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_214,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_215,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_216,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_217,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_218,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_219,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_220,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_221,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_222,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_223,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_224,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_225,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_226,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_227,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_228,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_229,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_230,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_231,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_232,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_233,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_234,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_235,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_236,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_237,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_238,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_239,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_240,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_241,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_242,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_243,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_244,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_245,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_246,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_247,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_248,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_249,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_250,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_251,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_252,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_253,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_254,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_255,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_256,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_257,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_258,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_259,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_260,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_261,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_262,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_263,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_264,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_265,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_266,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_267,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_268,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_269,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_270,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_271,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_272,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_273,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_274,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_275,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
